,Screen Name,Tweet,Date,Compound Score,Positive Score,Negative Score,Neutral Score,Tweets Ago
0,CNN,The race to save the Great Barrier Reef? A coral fertility treatment designed to help damaged parts of the reef is… https://t.co/3nTj0nA5h9,2018-06-09 22:30:05+00:00,0.765,0.329,0.145,0.526,1
1,CNN,"Tyler Soloman wiped tears of joy off his face after his father, who'd been deployed overseas, surprised Tyler by sh… https://t.co/8rub7aG2Ej",2018-06-09 22:15:00+00:00,0.5859,0.223,0.074,0.703,2
2,CNN,News of Anthony Bourdain’s death shook people around the world. We asked for your stories of how this gifted storyt… https://t.co/YYJPIxu1zN,2018-06-09 22:00:13+00:00,-0.6486,0.0,0.218,0.782,3
3,CNN,"First responders in Russellville, Arkansas, went above and beyond the call of duty to surprise a teen with autism a… https://t.co/h96qLLu7qu",2018-06-09 21:53:00+00:00,0.2732,0.1,0.0,0.9,4
4,CNN,"Danny Kirwan, a guitarist who appeared on five of Fleetwood Mac's albums, died in London on Friday, according to th… https://t.co/KUwHtJ6ins",2018-06-09 21:45:05+00:00,-0.5574,0.0,0.159,0.841,5
5,CNN,JUST IN: Canadian Prime Minister Justin Trudeau says he will impose retaliatory measures to answer President Trump'… https://t.co/AiVDwmzMvV,2018-06-09 21:37:48+00:00,-0.296,0.0,0.115,0.885,6
6,CNN,"Her rare skin condition keeps her indoors, but she braved the sun to walk at graduation https://t.co/ZkdCAXZwUE https://t.co/k6YeRZ6lI0",2018-06-09 21:10:05+00:00,0.5927,0.185,0.0,0.815,7
7,CNN,An internal Census Bureau memo sent to Commerce Secretary Wilbur Ross warns that adding a citizenship question to t… https://t.co/0AZC4nYfN2,2018-06-09 21:00:06+00:00,-0.1027,0.0,0.072,0.928,8
8,CNN,Secretary of State Mike Pompeo reiterated US calls for North Korea to completely rid itself of all remnants of its… https://t.co/3RxJpEMn3K,2018-06-09 20:50:07+00:00,0.0,0.0,0.0,1.0,9
9,CNN,Syracuse University has suspended 15 members of a professional fraternity after they appeared in videos that the sc… https://t.co/X6Bs6DkczE,2018-06-09 20:40:09+00:00,-0.4767,0.0,0.154,0.846,10
10,CNN,Porsche's first electric car will be called the Taycan https://t.co/Wxy5sh45nm https://t.co/3m7qXCcg2J,2018-06-09 20:30:08+00:00,0.0,0.0,0.0,1.0,11
11,CNN,"There was nobody like Anthony Bourdain, and there was no show like #PartsUnknown. CNN pays tribute with a special n… https://t.co/9TgJMgP7Kc",2018-06-09 20:20:24+00:00,0.6705,0.297,0.085,0.618,12
12,CNN,"President Trump says his relationships with other Western leaders are perfect, but the truth is the transatlantic a… https://t.co/o0UsVXeClf",2018-06-09 20:10:07+00:00,0.6486,0.238,0.0,0.762,13
13,CNN,"Prince Harry and Meghan, Duchess of Sussex, joined celebrations of Queen Elizabeth II's official birthday with the… https://t.co/c6kvYJ2vwn",2018-06-09 20:00:09+00:00,0.0,0.0,0.0,1.0,14
14,CNN,President Trump on the upcoming North Korea meeting: “I really feel confident. I feel that Kim Jong Un wants to do… https://t.co/9jM2GjrhxU,2018-06-09 19:50:34+00:00,0.539,0.148,0.0,0.852,15
15,CNN,"One step on the island of Bermuda, and it's impossible not to be moved by its beauty, history, simplicity and charm… https://t.co/EOxmxM76Kk",2018-06-09 19:40:00+00:00,0.5859,0.153,0.0,0.847,16
